标题,url,已更新章节数,更新频率（天）,读者数,评论数,最后更新时间,作品类型,总评分,别名（中文名）,标签,作者,平台,是否翻译完成
Spoil Your Wife Like Your Life Depends On It,https://www.novelupdates.com/series/spoil-your-wife-like-your-life-depends-on-it/,75,19.5,805,4,08-09-2022,"['Completed', 'Romance', 'Yuri']",4.1,宠妻如命,"['Acting', 'Beautiful Female Lead', 'Childhood Friends', 'Devoted Love Interests', 'First Love', 'Love Interest Falls in Love First', 'Modern Day']",魅骨,jjwxc,Yes
The Silent Cherry And Plum Blossoms,https://www.novelupdates.com/series/the-silent-cherry-and-plum-blossoms/,1,210,135,1,10-02-2022,"['Drama', 'Mature', 'Romance', 'Tragedy', 'Yuri']",4.7,桃李不言gl,"['Death of Loved Ones', 'Depression', 'Devoted Love Interests', 'Different Social Status', 'Orphans']",一盏夜灯,jjwxc,No
The Villains Need to Save the World?,https://www.novelupdates.com/series/the-villains-need-to-save-the-world/,555,24.7,4570,30,08-21-2022,"['Adventure', 'Ecchi', 'Fantasy', 'Gender Bender', 'Harem', 'Romance', 'School Life', 'Sci-fi', 'Supernatural', 'Yuri']",3.8,反派需要拯救世界么？,"['Antihero Protagonist', 'BDSM', 'Beautiful Female Lead', 'Blackmail', 'Cheats', 'Demon Lord', 'Dragons', 'Female Protagonist', 'God Protagonist', 'Goddesses', 'Godly Powers', 'Gods', 'Harem-seeking Protagonist', 'Hiding True Identity', 'Loli', 'Loyal Subordinates', 'Male to Female', 'Master-Servant Relationship', 'Mind Break', 'Multiple Realms', 'Multiple Reincarnated Individuals', 'Necromancer', 'Overpowered Protagonist', 'Perverted Protagonist', 'Polygamy', 'Protagonist Strong from the Start', 'Reincarnated in Another World', 'Religions', 'R*pe', 'Sadistic Characters', 'S*x S*aves', 'S*ave Harem', 'S*aves', 'Sword And Magic', 'Wars']",观书不语真君子,观书不语真君子,No
A Bookworm’s New Routine,https://www.novelupdates.com/series/a-bookworms-new-routine/,22,19.8,873,0,10-15-2022,"['Comedy', 'Romance', 'School Life', 'Slice of Life', 'Yuri']",3.9,学霸新套路,"['Beautiful Female Lead', 'Bookworm', 'Caring Protagonist', 'Clever Protagonist', 'Complex Family Relationships', 'Couple Growth', 'Devoted Love Interests', 'Female Protagonist', 'Short Story', 'Tomboyish Female Lead']",糖弦,jjwxc,No
Fall In Love With A Substitute,https://www.novelupdates.com/series/fall-in-love-with-a-substitute/,36,22,764,3,11-08-2022,"['Adventure', 'Romance', 'School Life', 'Yuri']",4.3,和替身谈恋爱（GL）,"['Ancient China', 'Beautiful Female Lead', 'Calm Protagonist', 'Caring Protagonist', 'Devoted Love Interests', 'Female Protagonist', 'Modern Day', 'Transmigration', 'World Hopping']",小檀栾,jjwxc,No
"Didn’t Expect That, Did You?",https://www.novelupdates.com/series/didnt-expect-that-did-you/,32,19.7,447,6,12-07-2022,"['Drama', 'Fantasy', 'Romance', 'Yuri']",4.5,没想到吧,"['Acting', 'Beautiful Female Lead', 'Female Protagonist', 'Modern Day', 'Multiple Reincarnated Individuals', 'Reincarnation', 'Second Chance', 'Time Travel']",热到昏厥,jjwxc,No
Cannon Fodder A is about To Cover the Heroine,https://www.novelupdates.com/series/cannon-fodder-a-is-about-to-cover-the-heroine/,12,17.9,502,1,11-17-2022,"['Fantasy', 'Romance', 'Yuri']",4.3,穿书炮灰A就要罩着女主,"['Beautiful Female Lead', 'Calm Protagonist', 'Carefree Protagonist', 'Complex Family Relationships', 'Death of Loved Ones', 'Doting Love Interests', 'Doting Parents', 'Family Business', 'Family Conflict', 'Omegaverse', 'Protagonist Strong from the Start', 'Transmigration', 'Wealthy Characters']",不虚不虚,jjwxc,No
She Wants To Divorce Me,https://www.novelupdates.com/series/she-wants-to-divorce-me/,23,61.6,871,2,12-07-2022,"['Drama', 'Romance', 'Slice of Life', 'Yuri']",4,她要跟我离婚,"['Acting', 'Beautiful Female Lead', 'Divorce', 'Female Protagonist', 'Marriage', 'Misunderstandings', 'Modern Day', 'Second Chance', 'Showbiz', 'Wealthy Characters']",封刃作书,jjwxc,No
Therapy Planet No. 13,https://www.novelupdates.com/series/therapy-planet-no-13/,13,27.7,184,0,12-18-2022,"['Action', 'Mecha', 'Romance', 'Sci-fi', 'Yuri']",3.4,13号治疗星球,"['Calm Protagonist', 'Cold Protagonist', 'Futuristic Setting', 'Military', 'Outer Space', 'Psychic Powers', 'Transformation Ability']",一半山川,jjwxc,No
Female Mad Tyrant Cool,https://www.novelupdates.com/series/female-mad-tyrant-cool/,78,49.5,1731,10,04-28-2022,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Romance', 'Yuri']",4.3,女主狂霸酷炫拽,"['Ancient Times', 'Beautiful Female Lead', 'Clingy Lover', 'Cute Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Episodic', 'Heartwarming', 'Interdimensional Travel', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Realms', 'Possessive Characters', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'Tsundere', 'Unconditional Love', 'World Hopping', 'World Travel', 'Yandere']",君汐若,jjwxc,No
My Feelings Can Wait,https://www.novelupdates.com/series/my-feelings-can-wait/,18,62.7,1170,25,04-17-2022,"['Drama', 'Psychological', 'Romance', 'Slice of Life', 'Yuri']",4.7,余情可待[重生],"['Acting', 'Adapted to Drama CD', 'Adapted to Manhua', 'Beautiful Female Lead', 'Calm Protagonist', 'Celebrities', 'Character Growth', 'Devoted Love Interests', 'Famous Protagonist', 'Female Protagonist', 'Misunderstandings', 'Modern Day', 'Reincarnation', 'Second Chance', 'Showbiz', 'Tragic Past', 'Tsundere', 'Unconditional Love']",闵然,jjwxc,No
Miss Cousin is Always Busy,https://www.novelupdates.com/series/miss-cousin-is-always-busy/,269,26.1,1878,23,04-17-2022,"['Completed', 'Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Yuri']",4.5,表小姐总是很忙[快穿],"['Acting', 'Ancient China', 'Apocalypse', 'Beautiful Female Lead', 'Calm Protagonist', 'Cannibalism', 'Character Growth', 'Charming Protagonist', 'Clever Protagonist', 'College/University', 'Comedic Undertone', 'Couple Growth', 'Cousins', 'Crime', 'Criminals', 'Cruel Characters', 'Cunning Protagonist', 'Detectives', 'Doting Love Interests', 'Female Protagonist', 'Friendship', 'Generals', 'Gore', 'Kind Love Interests', 'Kuudere', 'Love Interest Falls in Love First', 'Love Rivals', 'Modern Day', 'Murders', 'Police', 'Possessive Characters', 'Power Couple', 'Proactive Protagonist', 'Psychopaths', 'Royalty', 'Shounen-Ai Subplot', 'Siblings Not Related by Blood', 'Sister Complex', 'Strong Love Interests', 'Survival', 'Transmigration', 'Unconditional Love', 'World Hopping', 'Yandere', 'Zombies']",小吾君,jjwxc,Yes
Quick Transmigration – Villain Walkthrough,https://www.novelupdates.com/series/quick-transmigration-villain-walkthrough/,68,25.2,1224,4,05-14-2022,"['Adventure', 'Fantasy', 'Romance', 'Yuri']",3.9,[快穿]反派攻略gl,"['Beautiful Female Lead', 'Female Protagonist', 'Interdimensional Travel', 'Modern Day', 'Multiple Realms', 'Revenge', 'System Administrator', 'Transmigration', 'Villainess Noble Girls', 'Wealthy Characters', 'World Hopping', 'World Travel', 'Zombies']",乙纯,jjwxc,No
Universe’s Most Famous Vinegar Goddess,https://www.novelupdates.com/series/universes-most-famous-vinegar-goddess/,12,57.8,355,1,06-08-2022,"['Drama', 'Romance', 'Tragedy', 'Yuri']",4.4,宇宙第一可爱 (PN),"['Acting', 'Adapted to Manhua', 'Beautiful Female Lead', 'Carefree Protagonist', 'Caring Protagonist', 'Charismatic Protagonist', 'Cold Love Interests', 'College/University', 'Complex Family Relationships', 'Cute Protagonist', 'Modern Day', 'Showbiz', 'Tragic Past']",叶涩,jjwxc,No
"Her Mountain, Her Sea",https://www.novelupdates.com/series/her-mountain-her-sea/,85,22.8,561,5,05-29-2022,"['Completed', 'Psychological', 'Romance', 'School Life', 'Yuri']",4.4,她的山她的海,"['Arrogant Characters', 'Beautiful Female Lead', 'Bullying', 'Character Growth', 'Child Abuse', 'Cold Protagonist', 'Complex Family Relationships', 'Couple Growth', 'Cunning Protagonist', 'Family Conflict', 'Female Protagonist', 'First Love', 'Friendship', 'Heartwarming', 'Kind Love Interests', 'Love Interest Falls in Love First', 'Modern Day', 'Past Trauma', 'Roommates', 'Strong Love Interests', 'Unconditional Love']",扶华,jjwxc,Yes
Meeting You Again,https://www.novelupdates.com/series/meeting-you-again/,1,333,110,1,06-01-2022,"['Completed', 'Drama', 'Romance', 'Yuri']",3.3,再相逢,"['Long Separations', 'Lovers Reunited']",['Onion'],jjwxc,Yes
Get to Know Your Ex-Girlfriend,https://www.novelupdates.com/series/get-to-know-your-ex-girlfriend/,30,44.9,959,8,06-27-2022,"['Romance', 'Supernatural', 'Yuri']",4.3,前女友了解一下［快穿］,"['Calm Protagonist', 'Female Protagonist', 'Love Interest Falls in Love First', 'Overpowered Protagonist', 'Power Couple', 'Protagonist Strong from the Start', 'Strong Love Interests', 'System Administrator', 'Torture', 'World Hopping']",小吾君,jjwxc,No
I Picked Up An Ancient Transmigration Killer To Be A Wife,https://www.novelupdates.com/series/i-picked-up-an-ancient-transmigration-killer-to-be-a-wife/,111,26.3,761,2,06-12-2022,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Romance', 'Yuri']",3.6,古穿今之捡个杀手做媳妇,"['Assassins', 'Cunning Protagonist', 'Modern Day', 'Time Travel', 'Transmigration']",雨初白,jjwxc,No
The Female Lead is a Black Lotus,https://www.novelupdates.com/series/the-female-lead-is-a-black-lotus/,46,45.8,1019,4,07-15-2022,"['Comedy', 'Romance', 'School Life', 'Supernatural', 'Xuanhuan', 'Yuri']",4.2,女主是朵黑莲花,"['Academy', 'Beautiful Female Lead', 'Black Belly', 'Cute Protagonist', 'Female Protagonist', 'Ghosts', 'Modern Day', 'Possessive Characters', 'Siblings', 'Spirits', 'Transmigration', 'Villainess Noble Girls']",我有一只小黑狗,jjwxc,No
Little White Lotus’ Record of Courting Disaster,https://www.novelupdates.com/series/little-white-lotus-record-of-courting-disaster/,26,49.3,549,4,07-07-2022,"['Fantasy', 'Romance', 'Yuri']",3.9,小白花作死记,"['Autism', 'Beautiful Female Lead', 'Black Belly', 'Cold Love Interests', 'Cute Protagonist', 'Doting Love Interests', 'Doting Older Siblings', 'Fantasy World', 'Female Protagonist', 'Modern Day', 'Obsessive Love', 'Possessive Characters', 'Psychopaths', 'Suicides', 'Transmigration', 'Twisted Personality', 'World Hopping', 'Yandere']",桃花千千,jjwxc,No
Entertainment Circle Ancient Female General,https://www.novelupdates.com/series/entertainment-circle-ancient-female-general/,9,87.3,1004,7,07-17-2022,"['Action', 'Adventure', 'Drama', 'Martial Arts', 'Romance', 'Yuri']",4,娱乐圈女武替[古穿今],"['Acting', 'Beautiful Female Lead', 'Calm Protagonist', 'Caring Protagonist', 'Celebrities', 'Devoted Love Interests', 'Doting Parents', 'Familial Love', 'Female Protagonist', 'Hard-Working Protagonist', 'Modern Day', 'Protagonist Strong from the Start', 'Reincarnation', 'Single Parent', 'Tragic Past', 'Transmigration', 'Wealthy Characters']",花生酥糖,jjwxc,No
Queen and Her Duke,https://www.novelupdates.com/series/queen-and-her-duke/,0,101.3,79,1,N/A,"['Action', 'Adult', 'Drama', 'Romance', 'Yuri']",3.5,女王与她的公爵,"['Ancient Times', 'BDSM', 'Beautiful Female Lead', 'Enemies Become Lovers', 'European Ambience', 'Kingdoms', 'Royalty', 'Time Travel']",阿娴大大,jjwxc,No
Non-Police,https://www.novelupdates.com/series/non-police/,8,70.8,396,2,02-13-2022,"['Adult', 'Smut', 'Tragedy', 'Yuri']",4.2,非警,"['BDSM', 'C*nnilingus', 'Confinement', 'Cruel Characters', 'Depictions of Cruelty', 'Drugs', 'Exhibitionism', 'Female Protagonist', 'Modern Day', 'R*pe', 'Sadistic Characters', 'Serial Killers', 'S*x Friends', 'S*xual Abuse', 'Toys']",江时,PO18,No
"After I Transmigrated as a Mermaid, I Transmigrated Back",https://www.novelupdates.com/series/after-i-transmigrated-as-a-mermaid-i-transmigrated-back/,23,52.9,1211,5,03-17-2022,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural', 'Yuri']",4.4,穿成人鱼后我又穿了回来,"['Beautiful Female Lead', 'Broken Engagement', 'Character Growth', 'Contracts', 'Demons', 'Determined Protagonist', 'Devoted Love Interests', 'Mob Protagonist', 'Modern Day', 'Overpowered Protagonist', 'Power Couple', 'Returning from Another World', 'Special Abilities', 'Spirits', 'Strong Love Interests', 'Strong to Stronger', 'Tragic Past', 'Transmigration', 'Unconditional Love', 'Vampires', 'Wealthy Characters']",沈日十,jjwxc,No
The Reconciliation,https://www.novelupdates.com/series/the-reconciliation/,16,76.2,645,3,03-04-2022,"['Drama', 'Romance', 'Yuri']",4.1,分久必合,"['Acting', 'Beautiful Female Lead', 'Celebrities', 'Devoted Love Interests', 'Doting Love Interests', 'Famous Protagonist', 'Modern Day', 'Wealthy Characters']",鱼霜,jjwxc,No
Reading The Remnants,https://www.novelupdates.com/series/reading-the-remnants/,8,72,444,1,03-10-2022,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Xuanhuan', 'Yuri']",3.9,问棺,"['Adventurers', 'Ancient China', 'Buddhism', 'Calm Protagonist', 'Childhood Love', 'Clever Protagonist', 'Daoism', 'Fantasy Creatures', 'Feng Shui', 'Gods', 'Hell', 'Mysterious Past', 'Mythical Beasts', 'Mythology', 'Reincarnation', 'Spirits', 'Time Manipulation', 'Unrequited Love']",七小皇叔,Chang Pei (gongzicp),No
She is the Protagonist,https://www.novelupdates.com/series/she-is-the-protagonist/,210,35.4,4087,46,02-01-2022,"['Completed', 'Comedy', 'Drama', 'Romance', 'Yuri']",4.6,她是主角,"['Acting', 'Adapted to Drama CD', 'Adopted Children', 'Beautiful Female Lead', 'Broken Engagement', 'Celebrities', 'Clever Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Doting Parents', 'Family', 'Famous Protagonist', 'Heartwarming', 'Modern Day', 'Multiple Reincarnated Individuals', 'Multiple Timelines', 'Music', 'Power Couple', 'Protagonist Falls in Love First', 'Reincarnation', 'Second Chance', 'Shameless Protagonist', 'Strong Love Interests', 'System Administrator', 'Time Loop', 'Tragic Past', 'Transmigration', 'Unconditional Love', 'Villainess Noble Girls', 'Wealthy Characters']",热到昏厥,jjwxc,Yes
Becoming a Movie Queen after Transmigrating as the Villain’s Cat,https://www.novelupdates.com/series/becoming-a-movie-queen-after-transmigrating-as-the-villains-cat/,59,38.5,1575,9,01-29-2022,"['Comedy', 'Romance', 'Slice of Life', 'Yuri']",4.5,穿成反派的猫后我称霸娱乐圈,"['Acting', 'Beautiful Female Lead', 'Cold Love Interests', 'Cute Protagonist', 'Doting Love Interests', 'Human-Nonhuman Relationship', 'Modern Day', 'Non-humanoid Protagonist', 'Pets', 'Ruthless Protagonist', 'Selfish Protagonist', 'Slow Romance', 'Villainess Noble Girls', 'Wealthy Characters']",殊十一,jjwxc,No
Abused Female Lead And Beautiful Villainess (Quick Transmigration),https://www.novelupdates.com/series/abused-female-lead-and-beautiful-villainess-quick-transmigration/,55,52.1,1834,11,02-10-2022,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Yuri']",4.3,虐文女主和漂亮女配[快穿],"['Ancient China', 'Beautiful Female Lead', 'Clever Protagonist', 'Cultivation', 'Devoted Love Interests', 'Doting Love Interests', 'Episodic', 'Fantasy Creatures', 'Heartwarming', 'Heavenly Tribulation', 'Hiding True Identity', 'Interdimensional Travel', 'Love at First Sight', 'Marriage', 'Modern Day', 'Multiple Realms', 'Persistent Love Interests', 'Power Couple', 'Protagonist Falls in Love First', 'Protagonist Strong from the Start', 'Reincarnation', 'Shameless Protagonist', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'Unconditional Love', 'Villainess Noble Girls', 'Wealthy Characters', 'World Hopping', 'World Travel']",千觅荷,jjwxc,No
Above the Clouds,https://www.novelupdates.com/series/above-the-clouds/,8,57.8,152,0,02-17-2022,"['Drama', 'Mystery', 'Psychological', 'Yuri']",3.3,青云之上,"['Child Abuse', 'Childhood Friends', 'Crime', 'Criminals', 'Detectives', 'Gore', 'Investigations', 'Murders', 'Past Plays a Big Role', 'Police', 'Serial Killers', 'Yandere']",铁锅炖大鸭,Chang Pei (gongzicp),No
Shimmer,https://www.novelupdates.com/series/shimmer/,0,404,131,0,N/A,"['Drama', 'Romance', 'Yuri']",4.1,微光,"['Acting', 'Adapted to Drama CD', 'Celebrities', 'Co-Workers', 'Famous Protagonist', 'Modern Day', 'Showbiz']",鱼霜,jjwxc,No
The Villain is Addicted to Farming,https://www.novelupdates.com/series/the-villain-is-addicted-to-farming/,23,41.6,640,4,11-18-2021,"['Adventure', 'Fantasy', 'Yuri']",4.4,反派沉迷种田后[快穿],"['Farming', 'Female Protagonist', 'System Administrator', 'Transmigration', 'World Hopping']",方便面君,jjwxc,No
The System Sent Me an Object [End of the World],https://www.novelupdates.com/series/the-system-sent-me-an-object-end-of-the-world/,72,37,1176,5,11-18-2021,"['Action', 'Adventure', 'Comedy', 'Horror', 'Romance', 'Sci-fi', 'Yuri']",4.5,系统给我发对象[末世],"['Apocalypse', 'Beautiful Female Lead', 'Calm Protagonist', 'Charming Protagonist', 'Female Protagonist', 'Hard-Working Protagonist', 'Level System', 'Modern Day', 'Monsters', 'Smart Couple', 'Strong to Stronger', 'Survival', 'Zombies']",方便面君,jjwxc,No
Green Tea Villainess Fails,https://www.novelupdates.com/series/green-tea-villainess-fails/,28,47.2,2329,10,11-30-2021,"['Comedy', 'Fantasy', 'Romance', 'Yuri']",4.3,绿茶原地翻车GL,"['Beautiful Female Lead', 'Celebrities', 'Cold Love Interests', 'Cute Children', 'Cute Protagonist', 'Doting Love Interests', 'Doting Older Siblings', 'Doting Parents', 'Fated Lovers', 'Love Interest Falls in Love First', 'Modern Day', 'Naive Protagonist', 'Pregnancy', ""Sibling's Care"", 'System Administrator', 'Transmigration', 'Villainess Noble Girls', 'Wealthy Characters']",白日曦,jjwxc,No
The Princess from the Dragon Slayer Kingdom,https://www.novelupdates.com/series/the-princess-from-the-dragon-slayer-kingdom/,2,259.5,217,4,11-28-2021,"['Completed', 'Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Yuri']",3.9,当巨龙抓走了屠龙国的公主,"['Cute Story', 'Dragon Slayers', 'Dragons', 'Heartwarming', 'Short Story']",小林,Zhihu,Yes
Eastward Flow,https://www.novelupdates.com/series/eastward-flow/,25,51.8,846,6,11-30-2021,"['Drama', 'Romance', 'Yuri']",4.3,向东流,"['Ancient China', 'Cross-dressing', 'Politics', 'Protagonist Falls in Love First', 'Reversible Couple', 'Second Chance', 'Transmigration']",江一水,jjwxc,No
"Don’t Chase me, It’s Fruitless",https://www.novelupdates.com/series/dont-chase-me-its-fruitless/,3,203.7,309,3,11-30-2021,"['Romance', 'Shoujo Ai', 'Yuri']",4,"别追我, 没结果","['Beautiful Female Lead', 'Contracts', 'Doting Love Interests', 'Doting Parents', 'Narcissistic Protagonist', 'Past Plays a Big Role', 'Poor to Rich', 'Revenge', 'Showbiz', 'Singers', 'Wealthy Characters']",热到昏厥,jjwxc,No
My Disciple Consumes Too Much,https://www.novelupdates.com/series/my-disciple-consumes-too-much/,63,53.7,1405,3,01-06-2022,"['Comedy', 'Romance', 'Xianxia', 'Yuri']",4.4,徒儿吃的太多了,"['Beautiful Female Lead', 'Cold Love Interests', 'Cultivation', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Immortals', 'Lack of Common Sense', 'Non-humanoid Protagonist', 'Transmigration']",瞳师,jjwxc,No
365 Difficult Ways To Live,https://www.novelupdates.com/series/365-difficult-ways-to-live/,4,132.8,275,2,12-06-2021,"['Action', 'Comedy', 'Horror', 'Mystery', 'Psychological', 'Yuri']",4.2,365 Kinds of Difficult Living Methods,"['Abandoned Children', 'Beautiful Female Lead', 'Clever Protagonist', 'Female Protagonist', 'Murders', 'Police', 'Slow Romance', 'Smart Couple']",莫然漂,jjwxc,No
"I, Qinghuan",https://www.novelupdates.com/series/i-qinghuan/,26,52.6,736,8,03-13-2022,"['Drama', 'Romance', 'Tragedy', 'Yuri']",4.7,一世清欢现代篇,"['Acting', 'Amnesia', 'Appearance Different from Actual Age', 'Arranged Marriage', 'Awkward Protagonist', 'Beautiful Female Lead', 'Cold Protagonist', 'Couple Growth', 'Doting Love Interests', 'Immortals', 'Modern Day', 'Multiple Realms', 'Reincarnation', 'Tragic Past', 'Wealthy Characters', 'Younger Love Interests']",无心谈笑,jjwxc,No
Falling In Love With Tsundere Villainess After Transmigrating,https://www.novelupdates.com/series/falling-in-love-with-tsundere-villainess-after-transmigrating/,59,32.7,1235,16,12-30-2021,"['Comedy', 'Romance', 'School Life', 'Yuri']",4.5,穿书后爱上傲娇大小姐,"['Beautiful Female Lead', 'Bickering Couple', 'Calm Protagonist', 'Character Growth', 'Clingy Lover', 'Couple Growth', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Doting Parents', 'Family', 'Friendship', 'Heartwarming', 'Jealousy', 'Misunderstandings', 'Modern Day', 'Obsessive Love', 'Possessive Characters', 'Protagonist Falls in Love First', 'Transmigration', 'Tsundere', 'Unconditional Love', 'Villainess Noble Girls', 'Wealthy Characters']",边连,jjwxc,No
"In Order To Survive, I Had To Fall in Love With the Heroine",https://www.novelupdates.com/series/in-order-to-survive-i-had-to-fall-in-love-with-the-heroine/,3,204,375,2,10-18-2021,"['Comedy', 'Drama', 'Romance', 'Shoujo Ai', 'Yuri']",4.4,为了活命不得不和女主谈恋爱,"['Acting', 'Beautiful Female Lead', 'Celebrities', 'Doting Love Interests', 'Female Protagonist', 'Friendship', 'Showbiz', 'System Administrator', 'Transmigration', 'Transported to Another World', 'Unconditional Love', 'Wealthy Characters']",美羊羊公主殿下,jjwxc,No
Every Day I Wake Up and See Myself Selling Stupid,https://www.novelupdates.com/series/every-day-i-wake-up-and-see-myself-selling-stupid/,11,43.9,238,4,01-13-2022,"['Romance', 'Tragedy', 'Yuri']",3.9,每天起床都看到自己在卖蠢,"['Cold Protagonist', 'First Love', 'Mismatched Couple', 'Modern Day', 'Reincarnation', 'Ruthless Protagonist', 'Tragic Past', 'Wealthy Characters']",满城时光,jjwxc,No
"An Expectation of 1 in 20,000",https://www.novelupdates.com/series/an-expectation-of-1-in-20000/,1,557,240,4,10-20-2021,"['Completed', 'Romance', 'Yuri']",4.3,两万分之一的期待,"['Beautiful Female Lead', 'Devoted Love Interests', 'Female Protagonist', 'Oneshot']",萧憬,jjwxc,Yes
Raising The Zombie King,https://www.novelupdates.com/series/raising-the-zombie-king/,28,36.2,665,5,11-13-2021,"['Action', 'Romance', 'Slice of Life', 'Yuri']",4.1,在末世养丧尸王,"['Apocalypse', 'Beautiful Female Lead', 'Mute Character', 'Strong Love Interests', 'Survival', 'Zombies']",半碗多糖,jjwxc,No
The Price of Confessing To The Wrong Female Protagonist,https://www.novelupdates.com/series/the-price-of-confessing-to-the-wrong-female-protagonist/,34,91.9,1976,4,11-09-2021,"['Adventure', 'Comedy', 'Drama', 'Romance', 'Xianxia', 'Yuri']",4.2,我把霸王花认成了小白莲，接着养成了食人花！,"['Ancient Times', 'Beautiful Female Lead', 'Calm Protagonist', 'Cultivation', 'Female Protagonist', 'Love Interest Falls in Love First', 'Master-Disciple Relationship', 'Possessive Characters', 'Transmigration', 'Yandere', 'Younger Love Interests']",满城时光,jjwxc,No
Will You Die if You Don’t Pretend to be Forced?,https://www.novelupdates.com/series/will-you-die-if-you-dont-pretend-to-be-forced/,4,140.5,247,1,10-19-2021,"['Adventure', 'Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural', 'Yuri']",3.7,[QT] Will You Die if You Don’t Pretend to be Forced?,"['Apocalypse', 'Beautiful Female Lead', 'Clever Protagonist', 'Ghosts', 'Overpowered Protagonist', 'Soul Power', 'Tragic Past', 'World Hopping', 'World Travel']",柒殇祭,jjwxc,No
Transmigrated as the Notorious Female Partner,https://www.novelupdates.com/series/transmigrated-as-the-notorious-female-partner/,1,606,335,6,09-02-2021,"['Drama', 'Romance', 'Yuri']",4.3,穿成声名狼藉的女配,"['Adopted Children', 'Beautiful Female Lead', 'Confident Protagonist', 'Family Conflict', 'Female Protagonist', 'Past Plays a Big Role', 'Past Trauma', 'Protagonist Falls in Love First', 'Revenge', 'Transmigration', 'Wealthy Characters']",小吾君,jjwxc,No
She Belongs To Me,https://www.novelupdates.com/series/she-belongs-to-me/,39,45,833,7,08-31-2021,"['Drama', 'Slice of Life', 'Yuri']",4.5,她属于我,"['Beautiful Female Lead', 'Business Management', 'Calm Protagonist', 'Character Growth', 'Cold Love Interests', 'Devoted Love Interests', 'Doting Love Interests', 'Female Protagonist', 'Love Interest Falls in Love First', 'Marriage', 'Marriage of Convenience', 'Modern Day', 'Pregnancy', 'Slow Romance', 'Strong Love Interests', 'Unreliable Narrator', 'Wealthy Characters']",妲婴,jjwxc,No
Fangsi,https://www.novelupdates.com/series/fangsi/,26,46.2,887,6,08-22-2021,"['Adult', 'Drama', 'Mature', 'Romance', 'Smut', 'Yuri']",4.3,放肆【娱乐圈】,"['Acting', 'Beautiful Female Lead', 'Celebrities', 'Charming Protagonist', 'Cold Love Interests', 'Cute Children', 'Multiple POV', 'Past Trauma', 'Tragic Past']",玄笺,jjwxc,No
Matrilocal Marriage,https://www.novelupdates.com/series/matrilocal-marriage/,32,51.2,2375,50,08-26-2021,"['Completed', 'Comedy', 'Drama', 'Romance', 'Yuri']",4.6,入赘,"['Ancient Times', 'Beautiful Female Lead', 'Betrayal', 'Business Management', 'Businessmen', 'Caring Protagonist', 'Character Growth', 'Clever Protagonist', 'Cross-dressing', 'Cute Children', 'Devoted Love Interests', 'Female Protagonist', 'Hard-Working Protagonist', 'Marriage', 'Nobles', 'Parallel Worlds', 'Poor to Rich', 'Power Couple', 'Pregnancy', 'Protagonist Falls in Love First', 'Slow Romance', 'Technological Gap', 'Time Travel', 'Wealthy Characters', 'Younger Love Interests']",请君莫笑,jjwxc,Yes
She Can Also Be Gentle,https://www.novelupdates.com/series/she-can-also-be-gentle/,4,142.5,183,0,10-17-2021,"['Josei', 'Romance', 'School Life', 'Yuri']",4.4,她也可以很温柔,"['Beautiful Female Lead', 'Calm Protagonist', 'Caring Protagonist', 'Cold Love Interests', 'Devoted Love Interests', 'Doting Love Interests', 'Modern Day', 'Unconditional Love']",妲婴,jjwxc,No
The Transmigration Missions Are Not Scientific,https://www.novelupdates.com/series/the-transmigration-missions-are-not-scientific/,133,41.3,1867,11,09-06-2021,"['Completed', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'School Life', 'Yuri']",4.3,穿越的任务不科学 (快穿),"['Apocalypse', 'Beautiful Female Lead', 'Cultivation', 'Determined Protagonist', 'Devoted Love Interests', 'Episodic', 'Female Protagonist', 'Hackers', 'Heartwarming', 'Interdimensional Travel', 'Modern Day', 'Multiple Protagonists', 'Multiple Realms', 'Non-humanoid Protagonist', 'Protagonist Falls in Love First', 'Shounen-Ai Subplot', 'System Administrator', 'Transmigration', 'Unconditional Love', 'Wealthy Characters', 'World Hopping', 'Zombies']",千里日和,jjwxc,Yes
